Project,WWSKU,Project Quantity,PO Status,Sheet Name,Furniture Type
WE-CN-56293 - Yuexiu Financial Building,WW-CH-PRI-36194-C,4,Order Cancelled,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-CH-HAY-924-K,4,Shipped,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-TA-HEM-4172-F,1,Shipped,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-TA-COC-21819-C,1,Order Cancelled,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-CH-UNS-28547-A,4,Order Cancelled,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-CH-HAY-18220-C,4,Shipped,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-CH-PRI-36194-C,4,Order Cancelled,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-CH-HAY-924-K,4,Shipped,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-TA-HEM-4172-F,1,Shipped,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-TA-COC-21819-C,1,Order Cancelled,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-CH-UNS-28547-A,4,Order Cancelled,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-CH-HAY-18220-C,4,Shipped,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-CH-PRI-36194-C,4,Order Cancelled,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-CH-HAY-924-K,4,Shipped,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-TA-HEM-4172-F,1,Shipped,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-TA-COC-21819-C,1,Order Cancelled,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-TA-COC-26310-A,2,Order Cancelled,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-TA-KNO-13444-A,2,Shipped,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-TA-COC-36625-A,1,Order Cancelled,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-TA-VGP-18705-D,1,Shipped,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-CH-UNS-28547-C,14,Order Cancelled,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-CH-HAY-18220-C,14,Shipped,Copy of 09.2_SCHEDULE_FURNITURE_PHASE2 phoenix,Phoenix
